domain,accession,name,phylum,class,order,family,genus,species,genbank,protein,prokka,description,oldname
Bacteria,AFE07995.1,duf2,Pseudomonadota,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus,Corallococcus coralloides DSM 2259,CP003389.1,AFE07995.1,NA,MotA/TolQ/ExbB proton channel family protein,AFE07995.1_AQB_Corallococcus
Bacteria,AIE86461.1,duf2,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,Fimbriimonas ginsengisoli Gsoil 348,CP007139.1,AIE86461.1,NA,MotA/TolQ/ExbB proton channel,AIE86461.1_AQB_Fimbriimonas
Bacteria,AKD02510.1,duf2,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter korlensis,CP009621.1,AKD02510.1,NA,flagellar motor protein MotA,AKD02510.1_MotA_Pontibacter
Bacteria,AKD04823.1,duf2,Bacteroidota,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,Pontibacter korlensis,CP009621.1,AKD04823.1,NA,biopolymer transporter ExbB,AKD04823.1_ExbB_Pontibacter
Bacteria,AKJ63368.1,duf2,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,Kiritimatiella,Kiritimatiella glycovorans,CP010904.1,AKJ63368.1,NA,Biopolymer transport protein ExbB,AKJ63368.1_ExbB_Kiritimatiella
Bacteria,AKJ64099.1,duf2,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,Kiritimatiella,Kiritimatiella glycovorans,CP010904.1,AKJ64099.1,NA,Biopolymer transport protein ExbB,AKJ64099.1_ExbB_Kiritimatiella
Bacteria,AKJ64362.1,duf2,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,Kiritimatiella,Kiritimatiella glycovorans,CP010904.1,AKJ64362.1,NA,Biopolymer transport protein ExbB,AKJ64362.1_ExbB_Kiritimatiella
Bacteria,AKJ65567.1,duf2,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,Kiritimatiella,Kiritimatiella glycovorans,CP010904.1,AKJ65567.1,NA,Biopolymer transport protein ExbB,AKJ65567.1_ExbB_Kiritimatiella
Bacteria,AKL98121.1,duf2,Elusimicrobia,Endomicrobia,Endomicrobiales,Endomicrobiaceae,Endomicrobium,Endomicrobium proavitum,CP009498.1,AKL98121.1,NA,putative Transporter MotA/TolQ/ExbB proton channel family protein,AKL98121.1_AQB_Endomicrobium
Bacteria,ALW88052.1,duf2,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus actinosclerus,CP013910.1,ALW88052.1,NA,biopolymer transporter,ALW88052.1_Deinococcus
Bacteria,APW42522.1,duf2,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax saidenbachensis,CP019239.1,APW42522.1,NA,flagellar motor protein MotA,APW42522.1_MotA_Rhodoferax
Bacteria,ARN57520.1,duf2,Planctomycetota,Phycisphaerae,Sedimentisphaerales,Sedimentisphaeraceae,Sedimentisphaera,Sedimentisphaera salicampi,CP021023.1,ARN57520.1,NA,Biopolymer transport protein ExbB,ARN57520.1_ExbB_Sedimentisphaera
Bacteria,ATC62712.1,duf2,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Nibricoccus,Nibricoccus aquaticus,CP023344.1,ATC62712.1,NA,flagellar motor protein MotA,ATC62712.1_MotA_Nibricoccus
Bacteria,ATC64798.1,duf2,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Nibricoccus,Nibricoccus aquaticus,CP023344.1,ATC64798.1,NA,flagellar motor protein MotA,ATC64798.1_MotA_Nibricoccus
Bacteria,ATU65616.1,duf2,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Rhizobacter,Rhizobacter gummiphilus,CP024645.1,ATU65616.1,NA,MotA/TolQ/ExbB proton channel family protein,ATU65616.1_AQB_Rhizobacter
Bacteria,ATX79248.1,duf2,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus aestuarium,CP018799.1,ATX79248.1,NA,outer membrane transport energization protein ExbB,ATX79248.1_ExbB_Mariprofundus
Bacteria,ATX80498.1,duf2,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus aestuarium,CP018799.1,ATX80498.1,NA,biopolymer transport protein ExbB,ATX80498.1_ExbB_Mariprofundus
Bacteria,ATX81215.1,duf2,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrinatatus,CP018800.1,ATX81215.1,NA,biopolymer transport protein ExbB,ATX81215.1_ExbB_Mariprofundus
Bacteria,ATX82358.1,duf2,Pseudomonadota,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,Mariprofundus ferrinatatus,CP018800.1,ATX82358.1,NA,outer membrane transport energization protein ExbB,ATX82358.1_ExbB_Mariprofundus
Bacteria,AVM45415.1,duf2,Lentisphaerae,Lentisphaeria,Victivallales,,,Victivallales bacterium CCUG 44730,CP027227.1,AVM45415.1,NA,biopolymer transporter ExbB,AVM45415.1_ExbB_Victivallales
Bacteria,AVQ28424.1,duf2,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans,CP028105.1,AVQ28424.1,NA,MotA/TolQ/ExbB proton channel family protein,AVQ28424.1_AQB_Fusobacterium
Bacteria,AVQ29260.1,duf2,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans,CP028105.1,AVQ29260.1,NA,MotA/TolQ/ExbB proton channel family protein,AVQ29260.1_AQB_Fusobacterium
Bacteria,AVQ29523.1,duf2,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans,CP028105.1,AVQ29523.1,NA,MotA/TolQ/ExbB proton channel family protein,AVQ29523.1_AQB_Fusobacterium
Bacteria,AWI08882.1,duf2,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Ereboglobus,Ereboglobus luteus,CP023004.1,AWI08882.1,NA,flagellar motor protein MotA,AWI08882.1_MotA_Ereboglobus
Bacteria,AWV88047.1,duf2,Pseudomonadota,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,CP030032.1,AWV88047.1,NA,MotA/TolQ/ExbB proton channel family protein,AWV88047.1_AQB_Bradymonas
Bacteria,AWV89461.1,duf2,Pseudomonadota,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,CP030032.1,AWV89461.1,NA,MotA/TolQ/ExbB proton channel family protein,AWV89461.1_AQB_Bradymonas
Bacteria,AWV89791.1,duf2,Pseudomonadota,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,Bradymonas sediminis,CP030032.1,AWV89791.1,NA,MotA/TolQ/ExbB proton channel family protein,AWV89791.1_AQB_Bradymonas
Bacteria,BAC61768.1,duf2,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio parahaemolyticus RIMD 2210633,BA000032.2,BAC61768.1,NA,ExbB-like protein,BAC61768.1_ExbBlike_Vibrio
Bacteria,BAC89082.1,duf2,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter violaceus PCC 7421,BA000045.2,BAC89082.1,NA,gll1141,BAC89082.1
Bacteria,BAC90343.1,duf2,Cyanobacteria,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Gloeobacter,Gloeobacter violaceus PCC 7421,BA000045.2,BAC90343.1,NA,MotA/TolQ/ExbB family proton channel protein,BAC90343.1_MotA/TolQ/ExbB
Bacteria,BAM06053.1,duf2,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Leptospirillum,Leptospirillum ferrooxidans C2-3,AP012342.1,BAM06053.1,NA,biopolymer transport protein,BAM06053.1_Leptospirillum
Bacteria,BAS27557.1,duf2,Bacillota,Limnochordia,Limnochordales,Limnochordaceae,Limnochorda,Limnochorda pilosa,AP014924.1,BAS27557.1,NA,MotA/TolQ/ExbB proton channel family protein,BAS27557.1_AQB_Limnochorda
Bacteria,BBM36826.1,duf2,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Pseudoleptotrichia,Pseudoleptotrichia goodfellowii,AP019822.1,BBM36826.1,NA,MotA/TolQ/ExbB proton channel,BBM36826.1_AQB_Pseudoleptotrichia
Bacteria,BCI63438.1,duf2,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter secundus subsp. similis,AP023322.1,BCI63438.1,NA,flagellar motor protein MotA,BCI63438.1_MotA_Coprobacter
Bacteria,BCI63565.1,duf2,Bacteroidota,Bacteroidia,Bacteroidales,Barnesiellaceae,Coprobacter,Coprobacter secundus subsp. similis,AP023322.1,BCI63565.1,NA,biopolymer transporter ExbB,BCI63565.1_ExbB_Coprobacter
Bacteria,CAD73493.1,duf2,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,Rhodopirellula baltica SH 1,,CAD73493.1,NA,probable tolQ protein,CAD73493.1_probableTolQ_Rhodopirellula
Bacteria,CAD76944.1,duf2,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,Rhodopirellula baltica SH 1,,CAD76944.1,NA,probable TolQ,CAD76944.1_TolQ_Rhodopirellula
Bacteria,CCB87487.1,duf2,Chlamydiae,Chlamydiia,Parachlamydiales,Parachlamydiaceae,Parachlamydia,Parachlamydia acanthamoebae UV-7,,CCB87487.1,NA,putative uncharacterized protein,CCB87487.1
Bacteria,CCW36281.1,duf2,Armatimonadetes,Chthonomonadetes,Chthonomonadales,Chthonomonadaceae,Chthonomonas,Chthonomonas calidirosea T49,,CCW36281.1,NA,Biopolymer transport proteins,CCW36281.1_Chthonomonas
Bacteria,EKT86397.1,duf2,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira santarosai serovar Shermani str. LT 821,CP006694.1,EKT86397.1,NA,biopolymer transporter ExbB,EKT86397.1_ExbB_Leptospira
Bacteria,EKT88184.1,duf2,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira santarosai serovar Shermani str. LT 821,CP006694.1,EKT88184.1,NA,biopolymer transporter,EKT88184.1_Leptospira
Bacteria,QAR32927.1,duf2,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Geovibrio,Geovibrio thiophilus,CP035108.1,QAR32927.1,NA,MotA/TolQ/ExbB proton channel family protein,QAR32927.1_AQB_Geovibrio
Bacteria,QAR33430.1,duf2,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Geovibrio,Geovibrio thiophilus,CP035108.1,QAR33430.1,NA,MotA/TolQ/ExbB proton channel family protein,QAR33430.1_AQB_Geovibrio
Bacteria,QAT17178.1,duf2,Candidatus Omnitrophica,,,,Candidatus Velamenicoccus,Candidatus Velamenicoccus archaeovorus,CP019384.1,QAT17178.1,NA,hypothetical protein BU251_05250,QAT17178.1
Bacteria,QAT17590.1,duf2,Candidatus Omnitrophica,,,,Candidatus Velamenicoccus,Candidatus Velamenicoccus archaeovorus,CP019384.1,QAT17590.1,NA,ferric siderophore transport system biopolymer transport protein,QAT17590.1_ExbB_Candidatus
Bacteria,QDU94732.1,duf2,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Lignipirellula,Lignipirellula cremea,CP036433.1,QDU94732.1,NA,colicin uptake protein TolQ,QDU94732.1_TolQ_Lignipirellula
Bacteria,QDU94893.1,duf2,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Lignipirellula,Lignipirellula cremea,CP036433.1,QDU94893.1,NA,Biopolymer transport protein ExbB,QDU94893.1_ExbB_Lignipirellula
Bacteria,QEO43084.1,duf2,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,CP043556.1,QEO43084.1,NA,MotA/TolQ/ExbB proton channel family protein,QEO43084.1_AQB_Vibrio
Bacteria,QIZ70555.1,duf2,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Oxynema,Oxynema aestuarii AP17,CP051167.1,QIZ70555.1,NA,MotA/TolQ/ExbB proton channel family protein,QIZ70555.1_AQB_Oxynema
Bacteria,QIZ71789.1,duf2,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Oxynema,Oxynema aestuarii AP17,CP051167.1,QIZ71789.1,NA,MotA/TolQ/ExbB proton channel family protein,QIZ71789.1_AQB_Oxynema
Bacteria,QJE95191.1,duf2,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter luteus,CP051774.1,QJE95191.1,NA,MotA/TolQ/ExbB proton channel family protein,QJE95191.1_AQB_Luteolibacter
Bacteria,QJE97269.1,duf2,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter luteus,CP051774.1,QJE97269.1,NA,MotA/TolQ/ExbB proton channel family protein,QJE97269.1_AQB_Luteolibacter
Bacteria,QJE97381.1,duf2,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter luteus,CP051774.1,QJE97381.1,NA,MotA/TolQ/ExbB proton channel family protein,QJE97381.1_AQB_Luteolibacter
Bacteria,QJE97562.1,duf2,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter luteus,CP051774.1,QJE97562.1,NA,MotA/TolQ/ExbB proton channel family protein,QJE97562.1_AQB_Luteolibacter
Bacteria,QJE97567.1,duf2,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter luteus,CP051774.1,QJE97567.1,NA,MotA/TolQ/ExbB proton channel family protein,QJE97567.1_AQB_Luteolibacter
Bacteria,QOY89286.1,duf2,Acidobacteria,Acidobacteriia,Bryobacterales,Bryobacteraceae,Paludibaculum,Paludibaculum fermentans,CP063849.1,QOY89286.1,NA,MotA/TolQ/ExbB proton channel family protein,QOY89286.1_AQB_Paludibaculum
Bacteria,QQS88170.1,duf2,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium canifelinum,CP068114.1,QQS88170.1,NA,MotA/TolQ/ExbB proton channel family protein,QQS88170.1_AQB_Fusobacterium
Bacteria,QQS88496.1,duf2,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium canifelinum,CP068114.1,QQS88496.1,NA,MotA/TolQ/ExbB proton channel family protein,QQS88496.1_AQB_Fusobacterium
Bacteria,QSR83870.1,duf2,Verrucomicrobia,,,,Methylacidimicrobium,Methylacidimicrobium sp. B4,CP066203.1,QSR83870.1,NA,MotA/TolQ/ExbB proton channel family protein,QSR83870.1_AQB_Methylacidimicrobium
Bacteria,QSR84174.1,duf2,Verrucomicrobia,,,,Methylacidimicrobium,Methylacidimicrobium sp. B4,CP066203.1,QSR84174.1,NA,MotA/TolQ/ExbB proton channel family protein,QSR84174.1_AQB_Methylacidimicrobium
Bacteria,QSR84626.1,duf2,Verrucomicrobia,,,,Methylacidimicrobium,Methylacidimicrobium sp. B4,CP066203.1,QSR84626.1,NA,MotA/TolQ/ExbB proton channel family protein,QSR84626.1_AQB_Methylacidimicrobium
Bacteria,QSR85862.1,duf2,Verrucomicrobia,,,,Methylacidimicrobium,Methylacidimicrobium sp. B4,CP066203.1,QSR85862.1,NA,MotA/TolQ/ExbB proton channel family protein,QSR85862.1_AQB_Methylacidimicrobium
Bacteria,QTD50766.1,duf2,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Sulfidibacter,Sulfidibacter corallicola,CP071793.1,QTD50766.1,NA,MotA/TolQ/ExbB proton channel family protein,QTD50766.1_AQB_Sulfidibacter
Bacteria,QTD53280.1,duf2,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Sulfidibacter,Sulfidibacter corallicola,CP071793.1,QTD53280.1,NA,MotA/TolQ/ExbB proton channel family protein,QTD53280.1_AQB_Sulfidibacter
Bacteria,QVL32579.1,duf2,Planctomycetota,Planctomycetia,Gemmatales,Gemmataceae,Telmatocola,Telmatocola sphagniphila,CP074694.1,QVL32579.1,NA,MotA/TolQ/ExbB proton channel family protein,QVL32579.1_AQB_Telmatocola
,QZZ19520.1,duf2,,,,,,,,QZZ19520.1,NA,,QZZ19520.1_AQB_Leptothermofonsia
,QZZ21680.1,duf2,,,,,,,,QZZ21680.1,NA,,QZZ21680.1_AQB_Leptothermofonsia
,QZZ22141.1,duf2,,,,,,,,QZZ22141.1,NA,,QZZ22141.1_AQB_Leptothermofonsia
,QZZ23337.1,duf2,,,,,,,,QZZ23337.1,NA,,QZZ23337.1_AQB_Leptothermofonsia
Bacteria,SEH78546.1,duf2,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia glycaniphila,,SEH78546.1,NA,mota/tolq/exbb proton channel family,SEH78546.1_AQBfamily_Akkermansia
Bacteria,SEH93354.1,duf2,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia glycaniphila,,SEH93354.1,NA,mota/tolq/exbb proton channel family,SEH93354.1_AQBfamily_Akkermansia
Bacteria,SEI00245.1,duf2,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia glycaniphila,,SEI00245.1,NA,mota/tolq/exbb proton channel family,SEI00245.1_AQB_Akkermansia
Bacteria,UAK41330.1,duf2,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,CP082886.1,UAK41330.1,NA,MotA/TolQ/ExbB proton channel family protein,UAK41330.1_AQB_Bacteroides
Bacteria,UAK41566.1,duf2,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,CP082886.1,UAK41566.1,NA,MotA/TolQ/ExbB proton channel family protein,UAK41566.1_AQB_Bacteroides
Bacteria,UAK42981.1,duf2,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,CP082886.1,UAK42981.1,NA,MotA/TolQ/ExbB proton channel family protein,UAK42981.1_AQB_Bacteroides
Bacteria,UBQ05954.1,duf2,Pseudomonadota,Betaproteobacteria,Burkholderiales,,Tepidimonas,Tepidimonas taiwanensis,CP083911.1,UBQ05954.1,NA,MotA/TolQ/ExbB proton channel family protein,UBQ05954.1_AQB_Tepidimonas
Bacteria,UNU17462.1,duf2,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus PCC 9802,CP031740.1,UNU17462.1,NA,MotA/TolQ/ExbB proton channel family protein,UNU17462.1_AQB_Microcoleus
Bacteria,UNU18280.1,duf2,Cyanobacteria,,Oscillatoriales,Microcoleaceae,Microcoleus,Microcoleus vaginatus PCC 9802,CP031740.1,UNU18280.1,NA,MotA/TolQ/ExbB proton channel family protein,UNU18280.1_AQB_Microcoleus
Bacteria,USF25003.1,duf2,Deferribacteres,Deferribacteres,Deferribacterales,Mucispirillaceae,Mucispirillum,Mucispirillum schaedleri ASF457,CP097562.1,USF25003.1,NA,Biopolymer transport protein ExbB,USF25003.1_ExbB_Mucispirillum
Bacteria,AAG04082.1,DUF2341,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa PAO1,AE004091.2,AAG04082.1,NA,transport protein ExbB2,AAG04082.1_ExbB2_Pseudomonas
Bacteria,QJE97904.1,DUF2341,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter luteus,CP051774.1,QJE97904.1,NA,DUF2341 domain-containing protein,QJE97904.1_DUF2341_Luteolibacter
Bacteria,ACX73657.1,DUF3450,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes subsp. succinogenes S85,CP001792.1,ACX73657.1,NA,MotA/TolQ/ExbB proton channel,ACX73657.1_AQB_Fibrobacter
Bacteria,ACX74513.1,DUF3450,Fibrobacteres,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,Fibrobacter,Fibrobacter succinogenes subsp. succinogenes S85,CP001792.1,ACX74513.1,NA,MotA/TolQ/ExbB proton channel,ACX74513.1_AQB_Fibrobacter
Bacteria,AKJ64800.1,DUF3450,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,Kiritimatiella,Kiritimatiella glycovorans,CP010904.1,AKJ64800.1,NA,Biopolymer transport protein ExbB,AKJ64800.1_ExbB_Kiritimatiella
Bacteria,AQU99646.1,DUF3450,Pseudomonadota,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfococcus,Desulfococcus multivorans,CP019913.2,AQU99646.1,NA,MotA,AQU99646.1_MotA_Desulfococcus
Bacteria,ARN57239.1,DUF3450,Planctomycetota,Phycisphaerae,Sedimentisphaerales,Sedimentisphaeraceae,Sedimentisphaera,Sedimentisphaera salicampi,CP021023.1,ARN57239.1,NA,Biopolymer transport protein ExbB,ARN57239.1_ExbB_Sedimentisphaera
Bacteria,QAR33784.1,DUF3450,Deferribacteres,Deferribacteres,Deferribacterales,Geovibrionaceae,Geovibrio,Geovibrio thiophilus,CP035108.1,QAR33784.1,NA,hypothetical protein EP073_10320,QAR33784.1_HypEP073_10320_Geovibrio
Bacteria,AAC76042.1,exbb,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli str. K-12 substr. MG1655,U00096.3,AAC76042.1,NA,Ton complex subunit ExbB,AAC76042.1_ExbB_Escherichia
Bacteria,ABA03969.1,exbb,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter winogradskyi Nb-255,CP000115.1,ABA03969.1,NA,outer membrane transport energization protein ExbB,ABA03969.1_ExbB_Nitrobacter
Bacteria,ABA05559.1,exbb,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter winogradskyi Nb-255,CP000115.1,ABA05559.1,NA,outer membrane transport energization protein ExbB,ABA05559.1_ExbB_Nitrobacter
Bacteria,ABQ60495.1,exbb,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Brucellaceae,Brucella,Brucella ovis ATCC 25840,CP000708.1,ABQ60495.1,NA,ExbB,ABQ60495.1_ExbB_Brucella
Bacteria,ADE86105.1,exbb,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Paracoccaceae,Rhodobacter,Rhodobacter capsulatus SB 1003,CP001312.1,ADE86105.1,NA,biopolymer transport protein ExbB,ADE86105.1_ExbB_Rhodobacter
Bacteria,ADL00174.1,exbb,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas subvibrioides ATCC 15264,CP002102.1,ADL00174.1,NA,protein TolQ,ADL00174.1_TolQ_Brevundimonas
Bacteria,AJJ31614.1,exbb,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pestis,CP009844.1,AJJ31614.1,NA,tonB-system energizer ExbB,AJJ31614.1_ExbB_Yersinia
Bacteria,AJJ56099.1,exbb,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia pseudotuberculosis IP 32953,CP009712.1,AJJ56099.1,NA,tonB-system energizer ExbB,AJJ56099.1_ExbB_Yersinia
Bacteria,CDK97637.1,exbb,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Magnetospirillum gryphiswaldense MSR-1 v2,,CDK97637.1,NA,membrane spanning protein in TonB-ExbB-ExbD complex,CDK97637.1_ExbB_Magnetospirillum
Bacteria,QKY94846.1,exbb,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella sonnei,CP055292.1,QKY94846.1,NA,tol-pal system-associated acyl-CoA thioesterase,QKY94846.1
Bacteria,QNQ08778.1,exbb,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas alpina,CP061038.1,QNQ08778.1,NA,protein TolQ,QNQ08778.1_TolQ_Sphingomonas
Bacteria,QXB09426.1,exbb,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes,CP077293.1,QXB09426.1,NA,tol-pal system-associated acyl-CoA thioesterase,QXB09426.1_tolpal_Klebsiella
Bacteria,AAC07083.1,mota,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,Aquifex aeolicus VF5,AE000657.1,AAC07083.1,NA,flagellar motor protein MotA,AAC07083.1_MotA_Aquifex
Bacteria,AAR36419.1,mota,Pseudomonadota,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,Geobacter sulfurreducens PCA,AE017180.2,AAR36419.1,NA,flagellar basal body stator protein MotA,AAR36419.1_MotA_Geobacter
Bacteria,ABA04498.1,mota,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Nitrobacter,Nitrobacter winogradskyi Nb-255,CP000115.1,ABA04498.1,NA,MotA/TolQ/ExbB proton channel,ABA04498.1_AQB_Nitrobacter
Bacteria,ACL65905.1,mota,Pseudomonadota,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,Anaeromyxobacter dehalogenans 2CP-1,CP001359.1,ACL65905.1,NA,MotA/TolQ/ExbB proton channel,ACL65905.1_AQB_Anaeromyxobacter
Bacteria,ADB18997.1,mota,Planctomycetota,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi DSM 6068,CP001848.1,ADB18997.1,NA,MotA/TolQ/ExbB proton channel,ADB18997.1_AQB_Pirellula
Bacteria,ADC89566.1,mota,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,Thermocrinis albus DSM 14484,CP001931.1,ADC89566.1,NA,MotA/TolQ/ExbB proton channel,ADC89566.1_AQB_Thermocrinis
Bacteria,ADL42743.1,mota,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor obsidiansis OB47,CP002164.1,ADL42743.1,NA,MotA/TolQ/ExbB proton channel,ADL42743.1_AQB_Caldicellulosiruptor
Bacteria,AEO48324.1,mota,Pseudomonadota,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillum,Rhodospirillum rubrum F11,CP003046.1,AEO48324.1,NA,MotA/TolQ/ExbB proton channel,AEO48324.1_AQB_Rhodospirillum
Bacteria,AFL88473.1,mota,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,Terriglobus roseus DSM 18391,CP003379.1,AFL88473.1,NA,flagellar motor component,AFL88473.1_MotA_Terriglobus
Bacteria,AIQ92767.1,mota,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylobacteriaceae,Methylobacterium,Methylobacterium oryzae CBMB20,CP003811.1,AIQ92767.1,NA,MotA/TolQ/ExbB proton channel,AIQ92767.1_AQB_Methylobacterium
